Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,C0.1uf,
C2,CP_Radial_D6.3mm_P2.50mm,1,C47uf,
C3,0805,1,C1uf,
C4,CP_Radial_D6.3mm_P2.50mm,1,C10uf,
D1,DIOM5436X247N,1,MBRS1100T3G,
F1,FUSRR508W60L835T400H810,1,20A Fuse,
"J1, J2",AMASS_XT60PW-M,2,XT60PW-M,
J3,PHOENIX_1985276,1,1985276,
J4,TE_1985218,1,1985218,
J5,AMPHENOL_10090926-P154XLF,1,10090926-P154XLF,
K1,RELAY_1-1393210-8,1,1-1393210-8,
MOSFET1,POWERPAK_SO-8_SINGLE_VIS,1,SIR462DP-T1-GE3,
Q1,SOT95P280X125-3N,1,AO3400A,
"R1, R2",R_1206,2,100,
R3,0805,1,R100k,
U1,SOIC8-N_MC_MCH,1,TC4427ACOA,
