Designator,Mid X,Mid Y,Rotation,Layer
C1,77.5,-70.55,90.0,top
C2,90.25,-71.0,0.0,top
C3,114.1,-71.45,270.0,top
C4,100.0,-70.75,270.0,top
D1,85.8,-63.5,0.0,top
F1,115.0,-115.0,270.0,top
J1,64.329,-97.5,90.0,top
J2,125.671,-116.25,270.0,top
J3,132.5,-88.25,90.0,top
J4,132.5,-60.25,90.0,top
J5,61.5,-69.005,270.0,top
K1,93.78025,-102.9165,270.0,top
MOSFET1,108.635,-70.921,90.0,top
Q1,83.5,-71.0,0.0,top
R1,121.5,-60.1,180.0,top
R2,121.5,-63.9,180.0,top
R3,102.0875,-61.0,0.0,top
U1,109.5,-59.0,180.0,top
