Designator,Mid X,Mid Y,Rotation,Layer
D1,53.4,-133.8,270.0,top
D2,53.4,-143.5,270.0,top
D3,53.4,-154.0,270.0,top
D4,53.4,-123.8,270.0,top
D5,53.4,-111.4,270.0,top
D6,53.4,-101.8,270.0,top
D7,102.75,-143.5,90.0,top
J1,62.5,-170.28,0.0,top
J10,86.75,-170.905,180.0,top
J2,99.905,-131.25,270.0,top
J3,47.9325,-153.95,90.0,top
J4,47.9325,-143.6,90.0,top
J5,47.9325,-133.8,90.0,top
J6,47.9325,-123.6,90.0,top
J7,48.1325,-102.0,90.0,top
J8,47.9325,-111.95,90.0,top
J9,93.5,-158.75,90.0,top
K1,89.25,-144.2,180.0,top
Q1,59.3875,-156.0,0.0,top
Q2,59.25,-146.0,0.0,top
Q3,59.25,-135.75,0.0,top
Q4,59.5,-126.0,0.0,top
Q5,60.0,-104.25,0.0,top
Q6,59.75,-114.0,0.0,top
Q7,79.3625,-131.5,180.0,top
Q8,81.8,-153.1125,270.0,top
R1,63.75,-160.0,90.0,top
R10,63.75,-104.25,270.0,top
R11,63.75,-118.59,90.0,top
R12,63.75,-114.0,270.0,top
R13,76.75,-139.84,90.0,top
R14,77.0,-135.75,270.0,top
R15,79.75,-157.75,90.0,top
R16,82.84,-157.75,180.0,top
R2,63.75,-156.0,270.0,top
R3,63.5,-151.25,90.0,top
R4,63.75,-146.0,270.0,top
R5,63.75,-140.25,90.0,top
R6,63.75,-135.75,270.0,top
R7,63.75,-130.59,90.0,top
R8,63.75,-126.0,270.0,top
R9,63.75,-108.25,90.0,top
